N_arv;UPA;UT;Nome_Cientifico;Nome_Popular;DAP_cm;Alt;Categoria;QF;Vol;g;lat;lon
40522;6;4;Goupia glabra;Cupiúba;101,54;20;Explorar;1;10,659;0,8098;-5,909602;-54,954484
40523;6;4;Manilkara elata;Maçaranduba;41,7;15;Remanescente;1;1,3061;0,1366;-5,909183;-54,954478
40524;6;4;Goupia glabra;Cupiúba;90,08;13;Explorar;1;6,3123;0,6373;-5,909156;-54,954408
40525;6;4;Handroanthus impetiginosum;Ipê-roxo;84,35;21;Remanescente;1;7,9504;0,5588;-5,908643;-54,954409
40526;6;4;Apuleia leiocarpa;Garapeira;100,27;16;Explorar;2;8,8698;0,7896;-5,909658;-54,954686
40527;6;4;Cedrela odorata;Cedro-vermelho;51,25;16;Substituta;1;2,2767;0,2063;-5,90973;-54,954618
40528;6;4;Manilkara elata;Maçaranduba;54,75;19;Explorar;1;3,0102;0,2354;-5,910266;-54,95459
40529;6;4;Couratari guianensis;Tauari;112,05;25;Explorar;1;14,6864;0,986;-5,910311;-54,954597
40530;6;4;Couratari guianensis;Tauari;88,81;24;Explorar;1;9,6181;0,6194;-5,911026;-54,954646
40531;6;4;Manilkara elata;Maçaranduba;141,97;23;Explorar;2;19,5549;1,5829;-5,911196;-54,954687
40532;6;4;Manilkara elata;Maçaranduba;55,39;20;Explorar;1;3,2079;0,2409;-5,911276;-54,954722
40533;6;4;Apuleia leiocarpa;Garapeira;102,5;19;Explorar;1;10,4325;0,8251;-5,911334;-54,954586
40534;6;4;Handroanthus serratifolius;Ipê-amarelo;45,2;20;Remanescente;1;1,9754;0,1605;-5,912579;-54,954879
40535;6;4;Apuleia leiocarpa;Garapeira;87,85;21;Explorar;1;8,5693;0,6062;-5,911915;-54,954928
40536;6;4;Parkia multijuga;Fava-benguê;58,57;20;Remanescente;1;3,6389;0,2694;-5,911352;-54,954933
40537;6;4;Parkia multijuga;Fava-benguê;61,75;19;Remanescente;2;3,9395;0,2995;-5,911291;-54,954883
40538;6;4;Handroanthus impetiginosum;Ipê-roxo;90,4;25;Explorar;1;10,2247;0,6418;-5,910826;-54,954872
40539;6;4;Pseudopiptadenia psilostachya;Timborana;55,07;20;Explorar;1;3,1659;0,2382;-5,910202;-54,955043
40540;6;4;Chrysophyllum lucentifolium;Goiabão;66,53;20;Remanescente;2;4,7944;0,3476;-5,909473;-54,954923
40541;6;4;Diplotropis purpurea;Sucupira-amarela;77,35;23;Remanescente;1;7,1946;0,4699;-5,909296;-54,954974
40542;6;4;Goupia glabra;Cupiúba;50,61;12;Substituta;2;1,7864;0,2012;-5,909007;-54,954912
40543;6;4;Simarouba amara;Marupá;60,16;21;Explorar;1;4;0,2843;-5,910879;-54,95512
40544;6;4;Castilla ulei;Caucho;48,38;11;Remanescente;1;1,5025;0,1839;-5,9113;-54,955194
40545;6;4;Hymenaea parvifolia;Jutaí-mirim;53,79;20;Explorar;1;3;0,2273;-5,911783;-54,955291
40546;6;4;Chrysophyllum lucentifolium;Goiabão;53,48;21;Remanescente;1;3,0651;0,2246;-5,911844;-54,955331
40547;6;4;Simarouba amara;Marupá;54,11;14;Substituta;1;2,3429;0,23;-5,912003;-54,955163
40548;6;4;Couratari guianensis;Tauari;97,08;23;Explorar;1;10,9209;0,7403;-5,91189;-54,955452
40549;6;4;Cedrelinga cateniformis;Cedroarana;67,8;19;Substituta;1;4,8064;0,361;-5,911371;-54,955371
40550;6;4;Schizolobium amazonicum;Paricá;43,29;20;Remanescente;2;1,7727;0,1472;-5,91101;-54,955424
40551;6;4;Pseudopiptadenia psilostachya;Timborana;50,61;19;Substituta;2;2,5055;0,2012;-5,910581;-54,95543
40552;6;4;Pseudopiptadenia psilostachya;Timborana;85,63;20;Explorar;1;7,8916;0,5758;-5,910509;-54,955551
40553;6;4;Manilkara elata;Maçaranduba;53,16;18;Explorar;1;2,7035;0,2219;-5,910514;-54,955546
40554;6;4;Cedrela odorata;Cedro-vermelho;63,03;14;Remanescente;1;3,2922;0,312;-5,910444;-54,955443
40555;6;4;Manilkara elata;Maçaranduba;91,04;21;Explorar;1;9,1378;0,6509;-5,910226;-54,955383
40556;6;4;Manilkara elata;Maçaranduba;40,11;12;Remanescente;2;1,0009;0,1263;-5,910769;-54,955744
40557;6;4;Apuleia leiocarpa;Garapeira;101,22;21;Explorar;1;10,9831;0,8047;-5,910968;-54,955711
40558;6;4;Manilkara elata;Maçaranduba;77,35;23;Explorar;1;7,1946;0,4699;-5,911163;-54,95571
40559;6;4;Micropholis melinoniana;Currupixá;78,62;22;Remanescente;1;7,1932;0,4855;-5,911271;-54,955635
40560;6;4;Cordia goeldiana;Freijó;53,79;20;Remanescente;2;3;0,2273;-5,911558;-54,955828
40561;6;4;Vochysia maxima;Quaruba;78,62;20;Remanescente;1;6,7157;0,4855;-5,913102;-54,955972
40562;6;4;Hevea brasiliensis;Seringueira;54,43;19;Remanescente;1;2,9701;0,2327;-5,913109;-54,956113
40563;6;4;Stryphnodendron paniculatum;Taxi-pitomba;57,3;17;Remanescente;1;3,0782;0,2578;-5,91189;-54,956264
40564;6;4;Apuleia leiocarpa;Garapeira;128,92;23;Explorar;1;17,0998;1,3053;-5,912748;-54,956287
40565;6;4;Hevea brasiliensis;Seringueira;49,02;16;Remanescente;2;2,0478;0,1887;-5,913367;-54,956244
40566;6;4;Couratari guianensis;Tauari;80,53;23;Explorar;1;7,7769;0,5094;-5,913368;-54,956431
40567;6;4;Cedrelinga cateniformis;Cedroarana;96,45;25;Explorar;1;11,4605;0,7306;-5,913593;-54,956539
40568;6;4;Hymenaea courbaril;Jatobá;95,81;25;Remanescente;1;11,3297;0,721;-5,91412;-54,957047
40569;6;4;Handroanthus impetiginosum;Ipê-roxo;91,67;27;Remanescente;1;11,0729;0,66;-5,914072;-54,957089
40570;6;4;Cedrela odorata;Cedro-vermelho;84,03;19;Remanescente;1;7,3434;0,5546;-5,913863;-54,957027
40571;6;4;Vatairea paraensis;Fava-amargosa;56,02;17;Remanescente;1;2,9257;0,2465;-5,91382;-54,957334
40572;6;4;Caryocar glabrum;Pequiarana;77,03;13;Substituta;1;4,7062;0,466;-5,905501;-54,955032
40573;6;4;Hymenaea parvifolia;Jutaí-mirim;48,06;14;Remanescente;1;1,7698;0,1814;-5,905468;-54,955027
40574;6;4;Manilkara elata;Maçaranduba;112,68;22;Explorar;1;13,5229;0,9972;-5,905597;-54,954836
40575;6;4;Simarouba amara;Marupá;73,85;21;Explorar;1;6,1506;0,4283;-5,905604;-54,954743
40576;6;4;Ocotea rubra;Louro-vermelho;45,2;15;Remanescente;2;1,6014;0,1605;-5,905419;-54,954879
40577;6;4;Simarouba amara;Marupá;48,06;10;Remanescente;2;1,3762;0,1814;-5,904779;-54,954806
40578;6;4;Manilkara elata;Maçaranduba;52,52;15;Explorar;1;2,3001;0,2166;-5,904709;-54,954921
40579;6;4;Ocotea baturitensis;Louro-preto;55,39;12;Remanescente;2;2,2038;0,2409;-5,90445;-54,95492
