Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: 82861
Latitude: -8.25916666
Longitude: -49.26388888
Altitude: 179.02
Situacao: Operante
Data Inicial: 1984-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);
1985-06-27;0;25,78;null;
1985-06-28;0;25,96;null;
1985-06-29;0;25,5;null;
1985-06-30;0;25,66;null;
1985-07-01;0;25,92;null;
1985-07-02;0;26,78;null;
1985-07-03;0;26,56;null;
1985-07-04;0;27,24;null;
1985-07-05;0;27,02;null;
1985-07-06;0;27,02;null;
1985-07-07;0;27,54;null;
1985-07-08;0;26,1;null;
1985-07-09;10,4;25,44;null;
1985-07-10;0;25,54;null;
1985-07-11;17,1;26,32;null;
1985-07-12;0;26,16;null;
1985-07-13;0;25,92;null;
1985-07-14;0;26,24;null;
1985-07-15;0;26,34;null;
1985-07-16;0;26,7;null;
1985-07-17;0;25,48;null;
1985-07-18;0;25,6;null;
1985-07-19;0;25,96;null;
1985-07-20;0;25,38;null;
1985-07-21;0;25,04;null;
1985-07-22;0;25,36;null;
1985-07-23;0;26,18;null;
1985-07-24;0;26,54;null;
1985-07-25;0;26,2;null;
1985-07-26;0;24,94;null;
1985-07-27;0;25,06;null;
1985-07-28;0;25,68;null;
1985-07-29;0;26,02;null;
1985-07-30;0;26,48;null;
1985-07-31;0;26,24;null;
1985-08-01;0;26,28;null;
1985-08-02;0;26,04;null;
1985-08-03;0;26,4;null;
1985-08-04;0;26,18;null;
1985-08-05;0;26,86;null;
1985-08-06;0;27,02;null;
1985-08-07;0;27,56;null;
1985-08-08;0;26,8;null;
1985-08-09;0;25,7;null;
1985-08-10;0;26,82;null;
1985-08-11;0;26,72;null;
1985-08-12;0;28,02;null;
1985-08-13;0;28,36;null;
1985-08-14;0;26,68;null;
1985-08-15;0;25,72;null;
1985-08-16;0;26,74;null;
